layer,speedup row,speedup col,read latency(ns),write latency(ns),ADC(ns),Accumulation(ns),Synaptic Array(ns),Buffer(ns),Interconnect(ns),DRAM(ns),ADC write(ns),Accumulation write(ns),Synaptic Array write(ns),Buffer write(ns),Interconnect write(ns),DRAM write(ns)
1,1,6,1671.24,2.10892e+07,298.667,678.525,25.9308,616.527,51.5859,0.000526316,0,0,2.09903e+07,92806,5825.59,192.278
total,1,6,1671.24,2.10892e+07,298.667,678.525,25.9308,616.527,51.5859,0.000526316,0,0,2.09903e+07,92806,5825.59,192.278
