layer,speedup row,speedup col,read latency(ns),write latency(ns),ADC(ns),Accumulation(ns),Synaptic Array(ns),Buffer(ns),Interconnect(ns),DRAM(ns),ADC write(ns),Accumulation write(ns),Synaptic Array write(ns),Buffer write(ns),Interconnect write(ns),DRAM write(ns)
1,12,6,200796,1.77878e+06,22400,260.816,3032.31,162895,12207.8,0.538947,0,0,1.64981e+06,5405.73,123563,1.81895
2,1,6,847274,7.89875e+06,268800,78298.1,23189.4,383737,93249.3,0.538947,0,0,7.81521e+06,25368.2,58094.4,77.6084
3,1,3,291541,1.57126e+07,117077,19860.6,10099.9,120235,24267.5,0.538947,0,0,1.56284e+07,38942,45138.1,155.217
4,1,3,300937,3.13927e+07,117077,22993.5,10101.6,130284,20480,0.538947,0,0,3.12568e+07,77699.7,57913.6,310.434
5,1,1,118631,1.04427e+08,64512,6964.79,5469.05,37131.6,4552.98,0.538947,0,0,1.04202e+08,150839,73728.2,620.867
6,1,1,120874,1.87994e+08,64512,8278.27,5470.76,37524.4,5087.58,0.538947,0,0,1.8759e+08,301080,102028,1241.73
7,1,1,19264.5,7.51373e+08,1792,15920.4,157.585,1321.21,72.7426,0.538947,0,0,7.50244e+08,1.05826e+06,66347.4,4415.06
8,1,12,536.917,3.24453e+06,149.333,42.5563,12.7154,241.436,90.3365,0.538947,0,0,3.2423e+06,1296.85,926.135,5.38947
total,12,3888,847274,1.10382e+09,268800,78298.1,23189.4,383737,93249.3,4.31158,0,0,1.10163e+09,1.65889e+06,527739,6828.13
