layer,speedup row,speedup col,read latency(ns),write latency(ns),ADC(ns),Accumulation(ns),Synaptic Array(ns),Buffer(ns),Interconnect(ns),DRAM(ns),ADC write(ns),Accumulation write(ns),Synaptic Array write(ns),Buffer write(ns),Interconnect write(ns),DRAM write(ns)
1,12,12,97326.3,1.32639e+07,11200,130.408,1516.16,82203.7,2275.5,0.538947,0,0,1.31985e+07,3288.47,62100.1,0.909474
2,1,12,380480,1.9787e+06,134400,38300.7,11593.9,180234,15951.1,0.538947,0,0,1.95408e+06,7934.16,16666,19.4021
3,1,12,495700,5.47789e+06,117077,65251.2,10101.6,285779,17490.5,0.538947,0,0,5.42718e+06,20615.9,30037.7,53.8947
4,1,12,91030.3,5.44866e+06,21504,11965.7,1856.72,52490.1,3213.21,0.538947,0,0,5.42733e+06,14578.7,6695.71,53.8947
5,1,12,611.998,1.17904e+07,149.333,104.897,12.7154,305.239,39.2744,0.538947,0,0,1.17875e+07,2665.94,215.18,10.7789
total,12,248832,495700,3.79595e+07,134400,65251.2,11593.9,285779,17490.5,2.69474,0,0,3.77946e+07,49083.1,115715,138.88
