layer,speedup row,speedup col,read latency(ns),write latency(ns),ADC(ns),Accumulation(ns),Synaptic Array(ns),Buffer(ns),Interconnect(ns),DRAM(ns),ADC write(ns),Accumulation write(ns),Synaptic Array write(ns),Buffer write(ns),Interconnect write(ns),DRAM write(ns)
1,3,6,1.29337e+06,2.24714e+07,284928,13672.5,26170.7,709457,259113,26.4084,0,0,2.20715e+07,63109.2,336833,18.3411
2,1,3,893961,3.28009e+07,289109,55935.9,24941.7,383571,140376,26.4084,0,0,3.25627e+07,85922,151958,323.368
3,1,1,344638,6.79996e+07,179200,18685.2,15058.5,99794,31873.8,26.4084,0,0,6.77376e+07,116730,144721,465.651
4,1,1,345426,1.09761e+08,179200,21640.6,15058.5,99077.9,30423.1,26.4084,0,0,1.09421e+08,175682,163465,698.476
5,1,3,185165,4.71024e+07,59733.3,13982.9,5154.86,78593.8,27673.6,26.4084,0,0,4.68939e+07,114064,93933.7,465.651
6,1,1,192751,1.69163e+09,1792,189299,189.585,1355.99,87.7931,26.4084,0,0,1.68809e+09,3.30674e+06,220499,13797.1
7,1,1,126836,1.12776e+09,1792,123357,189.585,1359.4,111.832,26.4084,0,0,1.1254e+09,2.11632e+06,231175,8830.11
8,1,12,1130.27,1.29581e+07,149.333,129.961,12.7154,490.242,321.611,26.4084,0,0,1.29496e+07,5187.38,3332.77,21.5579
total,3,648,1.29337e+06,3.11249e+09,289109,189299,26170.7,709457,259113,211.267,0,0,3.10513e+09,5.98375e+06,1.34592e+06,24620.2
