layer,speedup row,speedup col,read latency(ns),write latency(ns),ADC(ns),Accumulation(ns),Synaptic Array(ns),Buffer(ns),Interconnect(ns),DRAM(ns),ADC write(ns),Accumulation write(ns),Synaptic Array write(ns),Buffer write(ns),Interconnect write(ns),DRAM write(ns)
1,1,1,443481,2.5245e+08,229376,20308,24224.4,159150,10422.1,0.0673684,0,0,2.51549e+08,615106,284156,2220.46
total,1,1,443481,2.5245e+08,229376,20308,24224.4,159150,10422.1,0.0673684,0,0,2.51549e+08,615106,284156,2220.46
