layer,speedup row,speedup col,read latency(ns),write latency(ns),ADC(ns),Accumulation(ns),Synaptic Array(ns),Buffer(ns),Interconnect(ns),DRAM(ns),ADC write(ns),Accumulation write(ns),Synaptic Array write(ns),Buffer write(ns),Interconnect write(ns),DRAM write(ns)
1,1,1,4146.98,1.25463e+08,1792,158.657,157.585,2008.05,30.6903,0.000526316,0,0,1.25042e+08,406058,14247.9,551.882
2,1,1,4146.98,1.25465e+08,1792,158.657,157.585,2008.05,30.6903,0.000526316,0,0,1.25044e+08,406058,14247.9,551.882
3,1,12,1084.81,2.63553e+06,149.333,42.5563,12.7154,852.943,27.2595,0.000526316,0,0,2.63425e+06,1194.89,84.5505,1.61684
total,1,12,4146.98,2.53564e+08,1792,158.657,157.585,2008.05,30.6903,0.00157895,0,0,2.52721e+08,813310,28580.3,1105.38
