layer,speedup row,speedup col,read latency(ns),write latency(ns),ADC(ns),Accumulation(ns),Synaptic Array(ns),Buffer(ns),Interconnect(ns),DRAM(ns),ADC write(ns),Accumulation write(ns),Synaptic Array write(ns),Buffer write(ns),Interconnect write(ns),DRAM write(ns)
1,3,3,11190.8,3.90989e+07,3185.78,152.872,303.595,7402.71,145.859,0.00842105,0,0,3.90755e+07,17548.9,5814.11,43.1158
2,12,3,7510.34,1.56381e+07,796.444,9.27347,108.149,6497.47,98.994,0.00842105,0,0,1.5626e+07,7100.81,4937.78,17.2463
3,12,12,38.841,2.10249e+07,12.4444,0.144898,1.51795,21.6831,3.04213,0.00842105,0,0,2.10249e+07,29.9498,3.0981,0.0673684
total,432,108,11190.8,7.57619e+07,3185.78,152.872,303.595,7402.71,145.859,0.0252632,0,0,7.57264e+07,24679.6,10755,60.4295
