layer,speedup row,speedup col,read latency(ns),write latency(ns),ADC(ns),Accumulation(ns),Synaptic Array(ns),Buffer(ns),Interconnect(ns),DRAM(ns),ADC write(ns),Accumulation write(ns),Synaptic Array write(ns),Buffer write(ns),Interconnect write(ns),DRAM write(ns)
1,1,1,4146.98,1.25453e+08,1792,158.657,157.585,2008.05,30.6903,0.000526316,0,0,1.25032e+08,406058,14247.9,551.882
2,1,1,4146.98,1.25468e+08,1792,158.657,157.585,2008.05,30.6903,0.000526316,0,0,1.25047e+08,406058,14247.9,551.882
3,1,12,1126.15,3.42778e+06,149.333,42.5563,12.7154,894.283,27.2659,0.000526316,0,0,3.4176e+06,9521.05,650.306,12.9347
total,1,12,4146.98,2.54349e+08,1792,158.657,157.585,2008.05,30.6903,0.00157895,0,0,2.53497e+08,821636,29146.1,1116.7
