layer,speedup row,speedup col,read latency(ns),write latency(ns),ADC(ns),Accumulation(ns),Synaptic Array(ns),Buffer(ns),Interconnect(ns),DRAM(ns),ADC write(ns),Accumulation write(ns),Synaptic Array write(ns),Buffer write(ns),Interconnect write(ns),DRAM write(ns)
1,12,12,25124,1.07771e+07,7168,83.4612,624.042,17003.9,244.182,0.412632,0,0,1.07721e+07,858.659,4179.1,0.0789474
2,6,12,17796.1,4.42037e+06,2488.89,72.8962,222.293,14767.8,243.778,0.412632,0,0,4.41641e+06,1698.72,2263.28,1.26316
3,3,6,691.266,2.44338e+07,99.5556,4.77725,9.6436,567.581,9.29559,0.412632,0,0,2.44143e+07,18607.9,892.337,25.2632
4,12,6,299.568,7.24342e+06,24.8889,0.289796,3.0359,264.829,6.11219,0.412632,0,0,7.23926e+06,3911.32,243.503,5.30526
5,12,12,106.747,3.78732e+07,12.4444,0.144898,1.51795,89.1699,3.05719,0.412632,0,0,3.78729e+07,327.447,24.4905,0.442105
total,31104,62208,25124,8.47479e+07,7168,83.4612,624.042,17003.9,244.182,2.06316,0,0,8.47149e+07,25404.1,7602.7,32.3526
