layer,speedup row,speedup col,read latency(ns),write latency(ns),ADC(ns),Accumulation(ns),Synaptic Array(ns),Buffer(ns),Interconnect(ns),DRAM(ns),ADC write(ns),Accumulation write(ns),Synaptic Array write(ns),Buffer write(ns),Interconnect write(ns),DRAM write(ns)
1,12,12,22127.5,4.3842e+06,4480,52.1633,486.462,16876.2,231.881,0.808421,0,0,4.37126e+06,583.257,12358.7,0.151579
2,12,12,23413.6,4.68592e+07,2240,26.0816,303.231,20390.1,453.414,0.808421,0,0,4.68441e+07,2221.26,12946.6,3.23368
3,6,6,51880.1,1.17629e+07,8960,262.426,972.924,40780.1,903.825,0.808421,0,0,1.17304e+07,6472.25,26082.3,12.9347
4,3,6,6346.25,2.34615e+07,1592.89,76.436,151.798,4393.71,130.609,0.808421,0,0,2.34498e+07,8480.14,3160.93,25.8695
total,2592,5184,51880.1,8.64679e+07,8960,262.426,972.924,40780.1,903.825,3.23368,0,0,8.63955e+07,17756.9,54548.5,42.1895
